,MI 540 dissipation factor measurement,,,,
time (UTC),tan delta,test object RMS voltage (V),test object current (I),input frequency (Hz),test object capacitance (F)
04-DEC-2019 15:29:1.7,0.00601471,499.435,3.12811e-05,550,1.81236e-11
04-DEC-2019 15:29:2.0,0.00601661,499.418,3.12812e-05,550,1.81235e-11
04-DEC-2019 15:29:2.3,0.00601656,499.533,3.12814e-05,550,1.81236e-11
04-DEC-2019 15:29:2.6,0.00601935,499.482,3.12813e-05,550,1.81237e-11
04-DEC-2019 15:29:2.9,0.00602116,499.507,3.12815e-05,550,1.81238e-11
04-DEC-2019 15:29:3.2,0.00602053,499.461,3.1281e-05,550,1.81236e-11
04-DEC-2019 15:29:3.5,0.00602305,499.436,3.12814e-05,550,1.81239e-11
04-DEC-2019 15:29:3.8,0.00602589,499.451,3.12815e-05,550,1.81239e-11
04-DEC-2019 15:29:4.1,0.00602079,499.405,3.1281e-05,550,1.81236e-11
04-DEC-2019 15:29:4.4,0.00601957,499.378,3.12814e-05,550,1.81238e-11
04-DEC-2019 15:29:4.7,0.00602098,499.474,3.12813e-05,550,1.81239e-11
04-DEC-2019 15:29:5.0,0.0060194,499.498,3.12813e-05,550,1.81239e-11
04-DEC-2019 15:29:5.3,0.00601423,499.445,3.12815e-05,550,1.8124e-11
04-DEC-2019 15:29:5.6,0.00601613,499.478,3.12811e-05,550,1.81237e-11
04-DEC-2019 15:29:5.9,0.00601567,499.441,3.12812e-05,550,1.81237e-11
04-DEC-2019 15:29:11.9,0.00589141,510.076,6.08789e-05,1050,1.80908e-11
04-DEC-2019 15:29:12.2,0.00589256,510.068,6.08786e-05,1050,1.80908e-11
04-DEC-2019 15:29:12.5,0.00589414,510.117,6.08784e-05,1050,1.80908e-11
04-DEC-2019 15:29:12.8,0.00589416,510.076,6.08788e-05,1050,1.80909e-11
04-DEC-2019 15:29:13.1,0.00589422,510.109,6.08786e-05,1050,1.80909e-11
04-DEC-2019 15:29:13.4,0.00589512,510.119,6.08778e-05,1050,1.80908e-11
04-DEC-2019 15:29:13.7,0.0058946,510.076,6.08779e-05,1050,1.80908e-11
04-DEC-2019 15:29:14.0,0.00589304,510.089,6.08779e-05,1050,1.80908e-11
04-DEC-2019 15:29:14.3,0.00589391,510.12,6.08779e-05,1050,1.80909e-11
04-DEC-2019 15:29:14.6,0.0058939,510.059,6.08772e-05,1050,1.80908e-11
04-DEC-2019 15:29:14.9,0.0058927,510.082,6.08772e-05,1050,1.80908e-11
04-DEC-2019 15:29:15.2,0.00589292,510.094,6.08775e-05,1050,1.80909e-11
04-DEC-2019 15:29:15.5,0.00589272,510.083,6.08774e-05,1050,1.80909e-11
04-DEC-2019 15:29:15.8,0.00589281,510.11,6.08773e-05,1050,1.80908e-11
04-DEC-2019 15:29:16.1,0.00589243,510.098,6.08775e-05,1050,1.80909e-11
04-DEC-2019 15:29:20.0,0.00581142,529.366,9.3123e-05,1550,1.80636e-11
04-DEC-2019 15:29:20.3,0.00581179,529.35,9.31228e-05,1550,1.80636e-11
04-DEC-2019 15:29:20.6,0.00581122,529.377,9.31226e-05,1550,1.80636e-11
04-DEC-2019 15:29:20.9,0.00581104,529.356,9.31224e-05,1550,1.80636e-11
04-DEC-2019 15:29:21.2,0.00581155,529.385,9.31218e-05,1550,1.80635e-11
04-DEC-2019 15:29:21.5,0.00581244,529.374,9.31207e-05,1550,1.80635e-11
04-DEC-2019 15:29:21.8,0.00581222,529.355,9.31204e-05,1550,1.80635e-11
04-DEC-2019 15:29:22.1,0.00581276,529.361,9.3121e-05,1550,1.80635e-11
04-DEC-2019 15:29:22.4,0.00581201,529.375,9.31211e-05,1550,1.80636e-11
